"Town Name","Congressional District"
"Abingdon",9
"Accomac",2
"Alberta",4
"Altavista",5
"Amherst",6
"Appalachia",9
"Appomattox",5
"Ashland",7
"Belle Haven",2
"Berryville",10
"Big Stone Gap",9
"Blacksburg",9
"Blackstone",4
"Bloxom",2
"Bluefield",9
"Boones Mill",5
"Bowling Green",1
"Boydton",5
"Boykins",4
"Branchville",4
"Bridgewater",6
"Broadway",6
"Brodnax",5
"Brookneal",5
"Buchanan",6
"Burkeville",4
"Cape Charles",2
"Capron",4
"Cedar Bluff",9
"Charlotte Court House",5
"Chase City",5
"Chatham",5
"Cheriton",2
"Chilhowie",9
"Chincoteague",2
"Christiansburg",9
"Claremont",3
"Clarksville",5
"Cleveland",9
"Clifton",11
"Clinchport",9
"Clintwood",9
"Coeburn",9
"Colonial Beach",1
"Columbia",5
"Courtland",4
"Craigsville",6
"Crewe",4
"Culpeper",7
"Damascus",9
"Dayton",6
"Dendron",3
"Dillwyn",5
"Drakes Branch",5
"Dublin",9
"Dumfries",1
"Eastville",2
"Edinburg",6
"Elkton",6
"Exmore",2
"Farmville",5
"Fincastle",6
"Floyd",9
"Fries",9
"Front Royal",10
"Gate City",9
"Glade Spring",9
"Glasgow",6
"Glen Lyn",9
"Gordonsville",7
"Goshen",6
"Gretna",5
"Grottoes",6
"Grundy",9
"Halifax",5
"Hallwood",2
"Hamilton",10
"Haymarket",11
"Haysi",9
"Herndon",10
"Hillsboro",10
"Hillsville",9
"Honaker",9
"Hurt",5
"Independence",9
"Iron Gate",9
"Irvington",1
"Ivor",4
"Jarratt",4
"Jonesville",9
"Keller",2
"Kenbridge",5
"Keysville",5
"Kilmarnock",1
"La Crosse",5
"Lawrenceville",5
"Lebanon",9
"Leesburg",10
"Louisa",7
"Lovettsville",10
"Luray",7
"McKenney",4
"Madison",7
"Marion",9
"Melfa",2
"Middleburg",10
"Middletown",10
"Mineral",7
"Monterey",6
"Montross",1
"Mount Crawford",6
"Mount Jackson",6
"Narrows",9
"Nassawadox",2
"New Castle",9
"New Market",6
"Newsoms",4
"Nickelsville",9
"Occoquan",11
"Onancock",2
"Onley",2
"Orange",7
"Painter",2
"Pamplin City",5
"Parksley",2
"Pearisburg",9
"Pembroke",9
"Pennington Gap",9
"Phenix",5
"Pocahontas",9
"Port Royal",1
"Pound",9
"Pulaski",9
"Purcellville",10
"Quantico",1
"Remington",1
"Rich Creek",9
"Richlands",9
"Ridgeway",5
"Rocky Mount",5
"Round Hill",10
"Rural Retreat",9
"St. Paul",9
"Saltville",9
"Saxis",2
"Scottsburg",5
"Scottsville",5
"Shenandoah",7
"Smithfield",4
"South Boston",5
"South Hill",5
"Stanardsville",5
"Stanley",7
"Stephens City",10
"Stony Creek",4
"Strasburg",6
"Stuart",9
"Surry",3
"Tangier",2
"Tappahannock",1
"Tazewell",9
"The Plains",10
"Timberville",6
"Toms Brook",6
"Troutville",6
"Urbanna",1
"Victoria",5
"Vienna",11
"Vinton",6
"Virgilina",5
"Wachapreague",2
"Wakefield",4
"Warrenton","1,10"
"Warsaw",1
"Waverly",4
"Weber City",9
"West Point",1
"White Stone",1
"Windsor",4
"Wise",9
"Woodstock",6
"Wytheville",9
