"Fips","Name","Total
Population","White","Black","Am.
Ind","Asian","HawPI","Other","Multi-
Race","Hisp.","Hisp.
White","Hisp.
Black","Hisp.
Other"
"001","Accomack",38305,24276,12171,218,100,31,1427,82,2062,579,55,1428
"003","Albemarle",79236,67474,7937,286,2468,15,843,213,2029,1256,74,699
"005","Alleghany",12926,12454,334,59,37,3,36,3,47,26,3,18
"007","Amelia",11400,8045,3210,67,21,2,39,16,91,38,15,38
"009","Amherst",31894,24772,6382,319,130,10,172,109,306,127,45,134
"011","Appomattox",13705,10408,3179,28,26,4,41,19,65,31,8,26
"013","Arlington",189453,130601,18243,1108,17708,203,19505,2085,35268,16112,571,18585
"015","Augusta",65615,62347,2435,268,235,21,272,37,620,377,10,233
"017","Bath",5048,4659,327,27,20,6,5,4,18,14,0,4
"019","Bedford",60371,55649,3857,282,332,14,171,66,449,291,15,143
"021","Bland",6871,6515,289,25,13,3,22,4,32,20,3,9
"023","Botetourt",30496,28944,1113,144,175,4,84,32,181,111,6,64
"025","Brunswick",18419,7734,10492,38,43,1,80,31,231,105,58,68
"027","Buchanan",26978,26101,716,57,54,7,37,6,128,94,2,32
"029","Buckingham",15623,9235,6147,95,31,2,61,52,126,51,29,46
"031","Campbell",51078,42516,7683,202,362,8,199,108,423,218,52,153
"033","Caroline",22121,13842,7698,233,98,8,132,110,295,132,43,120
"035","Carroll",29245,28651,141,118,40,6,274,15,479,215,0,264
"036","Charles City",6926,2470,3809,575,10,0,13,49,45,16,4,25
"037","Charlotte",12472,8171,4115,42,28,0,89,27,206,118,15,73
"041","Chesterfield",259903,199447,46955,1426,6711,147,4127,1090,7617,3371,430,3816
"043","Clarke",12652,11532,874,50,75,9,80,32,185,110,4,71
"045","Craig",5091,5037,10,21,14,0,8,1,17,14,1,2
"047","Culpeper",34262,26816,6396,196,284,9,436,125,858,403,32,423
"049","Cumberland",9017,5444,3404,56,40,0,62,11,150,58,27,65
"051","Dickenson",16395,16224,67,51,21,0,20,12,70,61,0,9
"053","Dinwiddie",24533,15837,8300,110,108,17,109,52,237,102,36,99
"057","Essex",9989,5790,3943,87,89,3,40,37,72,28,21,23
"059","Fairfax",968674,677384,85801,4498,135857,1004,56285,7845,106789,53485,2107,51197
"059","Fairfax - A",1075,520,495,0,27,0,33,0,169,123,13,33
"061","Fauquier",55139,48740,5044,310,434,34,450,127,1114,676,45,393
"063","Floyd",13874,13418,293,57,21,4,59,22,187,134,4,49
"065","Fluvanna",20047,15925,3793,103,100,8,74,44,235,131,28,76
"067","Franklin",47286,42063,4538,166,196,15,233,75,573,314,28,231
"069","Frederick",59209,56240,1721,256,475,20,404,93,1004,587,19,398
"071","Giles",16657,16226,286,48,45,2,40,10,105,85,0,20
"073","Gloucester",34780,30148,3698,321,340,29,180,64,560,343,23,194
"075","Goochland",16863,12261,4352,68,100,5,47,30,144,67,26,51
"077","Grayson",17917,16429,1229,90,22,6,135,6,277,146,3,128
"079","Greene",15244,13871,1054,79,85,6,121,28,201,102,1,98
"081","Greensville",11560,4502,6913,16,52,2,57,18,108,41,26,41
"083","Halifax",37355,22531,14291,127,112,3,191,100,458,218,57,183
"085","Hanover",86320,76242,8212,478,810,11,396,171,847,489,41,317
"087","Henrico",262300,180761,65553,1458,10031,125,3242,1130,5946,2761,496,2689
"089","Henry",57930,43118,13286,185,262,24,932,123,2002,1031,47,924
"091","Highland",2536,2517,3,5,7,0,2,2,13,10,1,2
"093","Isle of Wight",29728,21130,8135,155,128,10,105,65,254,138,32,84
"095","James City",48102,39467,7044,265,828,44,284,170,816,513,53,250
"097","King and Queen",6630,4059,2384,112,21,1,15,38,58,23,21,14
"099","King George",16803,13055,3222,158,207,13,99,49,301,199,12,90
"101","King William",13146,9703,3038,256,60,0,53,36,120,49,26,45
"103","Lancaster",11567,8091,3354,33,48,9,21,11,71,36,18,17
"105","Lee",23589,23221,114,157,55,3,24,15,120,89,1,30
"107","Loudoun",169599,140419,12463,700,10100,134,4933,850,10089,5447,216,4426
"109","Louisa",25627,19617,5610,173,82,4,70,71,182,100,23,59
"111","Lunenburg",13146,7772,5108,54,35,12,118,47,235,77,30,128
"113","Madison",12520,10856,1473,35,73,3,55,25,96,56,6,34
"115","Mathews",9207,8038,1043,44,24,0,39,19,73,43,1,29
"117","Mecklenburg",32380,19181,12705,118,116,6,178,76,393,164,66,163
"119","Middlesex",9932,7797,2018,45,14,0,45,13,55,25,3,27
"121","Montgomery",83627,75268,3233,335,3612,50,834,295,1321,751,64,506
"121","Montgomery - A",2,2,0,0,0,0,0,0,0,0,0,0
"125","Nelson",14445,11939,2182,78,44,11,105,86,305,174,24,107
"127","New Kent",13462,10805,2198,226,92,3,93,45,176,78,16,82
"131","Northampton",13093,6977,5675,38,30,4,336,33,454,99,32,323
"133","Northumberland",12259,8849,3289,33,26,0,45,17,114,45,26,43
"135","Nottoway",15725,8988,6412,48,74,5,174,24,248,65,24,159
"137","Orange",25881,21833,3647,123,111,6,126,35,330,204,12,114
"139","Page",23177,22311,526,99,78,6,140,17,251,128,0,123
"141","Patrick",19407,17805,1243,78,48,8,208,17,363,138,30,195
"143","Pittsylvania",61745,46311,14706,182,159,4,290,93,759,390,83,286
"145","Powhatan",22377,18237,3831,97,63,5,102,42,184,120,5,59
"147","Prince Edward",19720,12260,7118,69,137,20,65,51,186,80,49,57
"149","Prince George",33047,20135,10907,209,665,61,835,235,1625,603,170,852
"153","Prince William",280813,193574,54600,1991,12631,464,14849,2704,27338,11818,1065,14455
"155","Pulaski",35127,32529,2029,184,142,14,184,45,336,178,10,148
"157","Rappahannock",6983,6469,402,42,28,0,29,13,91,58,6,27
"159","Richmond",8809,5706,2935,22,38,11,85,12,185,90,9,86
"161","Roanoke",85778,80312,3031,307,1517,15,491,105,888,503,22,363
"163","Rockbridge",20808,19856,652,125,115,4,39,17,120,81,7,32
"165","Rockingham",67725,65406,1021,205,264,13,774,42,2221,1468,56,697
"167","Russell",30308,29118,949,88,27,6,102,18,237,137,11,89
"169","Scott",23403,23055,148,108,24,5,45,18,99,63,2,34
"171","Shenandoah",35075,33533,480,187,151,18,669,37,1194,487,13,694
"173","Smyth",33081,32043,660,145,72,2,120,39,283,163,13,107
"175","Southampton",17482,9783,7517,60,35,2,48,37,115,29,33,53
"177","Spotsylvania",90395,74924,11656,643,1514,80,1153,425,2536,1378,147,1011
"179","Stafford",92446,75807,11711,881,1948,137,1433,529,3342,1780,227,1335
"181","Surry",6829,3201,3540,33,9,2,21,23,51,31,11,9
"183","Sussex",12504,4550,7781,48,19,4,71,31,102,13,19,70
"185","Tazewell",44598,42886,1064,184,311,1,93,59,228,150,17,61
"187","Warren",31584,29280,1630,202,201,17,193,61,494,333,12,149
"191","Washington",51103,49854,721,195,182,22,95,34,322,260,3,59
"193","Westmoreland",16718,10936,5221,93,69,2,329,68,579,216,28,335
"195","Wise",40123,38870,786,160,149,6,129,23,292,189,5,98
"197","Wythe",27599,26429,851,92,122,5,85,15,157,97,14,46
"199","York",56297,45038,7719,353,2141,85,662,299,1509,820,98,591
"510","Alexandria city",128283,76702,29337,616,8036,140,11502,1950,18882,7813,518,10551
"515","Bedford city",6299,4745,1433,31,40,5,22,23,56,42,3,11
"520","Bristol city",17367,16072,1035,110,75,3,50,22,169,108,19,42
"530","Buena Vista city",6349,5940,320,31,37,6,8,7,64,51,3,10
"540","Charlottesville city",45049,31337,10239,137,2466,25,587,258,1102,512,108,482
"550","Chesapeake city",199184,133193,57483,1326,4366,159,1743,914,4076,1993,408,1675
"560","Clifton Forge city",4289,3558,659,14,5,0,30,23,38,15,0,23
"570","Colonial Heights city",16897,15052,1089,57,510,16,139,34,274,132,17,125
"580","Covington city",6303,5298,867,44,53,2,24,15,40,27,0,13
"590","Danville city",48411,26075,21451,148,315,14,300,108,612,262,89,261
"595","Emporia city",5665,2405,3185,10,34,4,17,10,84,63,7,14
"600","Fairfax city",21498,15675,1150,127,2808,18,1566,154,2932,1342,56,1534
"610","Falls Church city",10377,8817,370,67,762,13,309,39,876,562,21,293
"620","Franklin city",8346,3816,4385,24,72,1,34,14,46,16,15,15
"630","Fredericksburg city",19279,14108,4039,112,358,13,555,94,945,349,61,535
"640","Galax city",6837,5887,449,49,50,1,396,5,757,338,16,403
"650","Hampton city",146437,72556,66169,1018,3150,178,1861,1505,4153,1593,702,1858
"660","Harrisonburg city",40468,34334,2613,140,1559,22,1614,186,3580,1918,155,1507
"670","Hopewell city",22354,13924,7572,159,235,19,320,125,651,269,74,308
"678","Lexington city",6867,5906,723,25,153,5,40,15,109,69,0,40
"680","Lynchburg city",65269,43487,19714,298,917,34,524,295,878,379,94,405
"683","Manassas city",35135,25316,4744,199,1342,33,3268,233,5316,2012,127,3177
"685","Manassas Park city",10290,7490,1198,82,482,9,975,54,1544,571,35,938
"690","Martinsville city",15416,8537,6601,44,78,1,126,29,358,201,58,99
"700","Newport News city",180150,96383,71463,1208,4949,268,3884,1995,7595,2759,921,3915
"710","Norfolk city",234403,113358,104620,1836,7462,322,4691,2114,8915,3137,1202,4576
"720","Norton city",3904,3575,255,13,42,5,11,3,34,27,5,2
"730","Petersburg city",33740,6249,26730,98,269,10,228,156,463,118,133,212
"735","Poquoson city",11566,11134,90,61,217,8,44,12,122,86,0,36
"740","Portsmouth city",100565,46096,51252,779,979,111,762,586,1748,693,349,706
"750","Radford city",15859,13990,1345,78,262,5,111,68,184,90,11,83
"760","Richmond city",197790,75744,113728,728,2719,176,3296,1399,5074,1238,673,3163
"770","Roanoke city",94911,65848,25918,483,1217,42,946,457,1405,592,172,641
"775","Salem city",24747,22738,1510,86,260,12,100,41,205,144,11,50
"790","Staunton city",23853,19866,3461,114,154,4,168,86,265,138,25,102
"800","Suffolk city",63677,34271,27868,342,596,21,291,288,809,331,206,272
"810","Virginia Beach city",425257,303681,82863,3089,23784,590,7866,3384,17770,8279,1665,7826
"820","Waynesboro city",19520,16877,2052,125,137,6,256,67,643,385,11,247
"830","Williamsburg city",11998,9543,1628,52,607,9,119,40,302,191,8,103
"840","Winchester city",23585,19355,2651,162,407,15,898,97,1527,631,18,878
,"Totals",7078515,5120110,1414830,38843,288852,5493,172037,38350,329540,154473,15391,159676
