"District","Total 
Population","Target 
Population","Percent
Deviation","Deviation"
1,69144,70785,-2.3%,-1641
2,69917,70785,-1.2%,-868
3,69754,70785,-1.5%,-1031
4,69839,70785,-1.3%,-946
5,71025,70785,0.3%,240
6,72137,70785,1.9%,1352
7,70575,70785,-0.3%,-210
8,70024,70785,-1.1%,-761
9,71196,70785,0.6%,411
10,72191,70785,2%,1406
11,71296,70785,0.7%,511
12,71248,70785,0.7%,463
13,69993,70785,-1.1%,-792
14,71021,70785,0.3%,236
15,69858,70785,-1.3%,-927
16,70269,70785,-0.7%,-516
17,70453,70785,-0.5%,-332
18,70610,70785,-0.2%,-175
19,71715,70785,1.3%,930
20,71422,70785,0.9%,637
21,71694,70785,1.3%,909
22,70192,70785,-0.8%,-593
23,70383,70785,-0.6%,-402
24,69520,70785,-1.8%,-1265
25,72317,70785,2.2%,1532
26,70945,70785,0.2%,160
27,70576,70785,-0.3%,-209
28,70096,70785,-1%,-689
29,69941,70785,-1.2%,-844
30,69315,70785,-2.1%,-1470
31,70499,70785,-0.4%,-286
32,71810,70785,1.4%,1025
33,70956,70785,0.2%,171
34,69893,70785,-1.3%,-892
35,70857,70785,0.1%,72
36,70596,70785,-0.3%,-189
37,69558,70785,-1.7%,-1227
38,71701,70785,1.3%,916
39,71856,70785,1.5%,1071
40,71273,70785,0.7%,488
41,71560,70785,1.1%,775
42,69645,70785,-1.6%,-1140
43,70425,70785,-0.5%,-360
44,71686,70785,1.3%,901
45,71621,70785,1.2%,836
46,70944,70785,0.2%,159
47,70306,70785,-0.7%,-479
48,71802,70785,1.4%,1017
49,70631,70785,-0.2%,-154
50,71915,70785,1.6%,1130
51,69418,70785,-1.9%,-1367
52,71116,70785,0.5%,331
53,71895,70785,1.6%,1110
54,71369,70785,0.8%,584
55,69763,70785,-1.4%,-1022
56,70103,70785,-1%,-682
57,70576,70785,-0.3%,-209
58,69956,70785,-1.2%,-829
59,70616,70785,-0.2%,-169
60,69676,70785,-1.6%,-1109
61,69970,70785,-1.2%,-815
62,71382,70785,0.8%,597
63,69833,70785,-1.3%,-952
64,71384,70785,0.8%,599
65,70062,70785,-1%,-723
66,70100,70785,-1%,-685
67,69535,70785,-1.8%,-1250
68,70442,70785,-0.5%,-343
69,69569,70785,-1.7%,-1216
70,70274,70785,-0.7%,-511
71,69540,70785,-1.8%,-1245
72,70775,70785,0%,-10
73,71553,70785,1.1%,768
74,70867,70785,0.1%,82
75,69867,70785,-1.3%,-918
76,71957,70785,1.7%,1172
77,71285,70785,0.7%,500
78,70798,70785,0%,13
79,70758,70785,0%,-27
80,70554,70785,-0.3%,-231
81,72077,70785,1.8%,1292
82,71737,70785,1.3%,952
83,71766,70785,1.4%,981
84,72047,70785,1.8%,1262
85,72039,70785,1.8%,1254
86,71069,70785,0.4%,284
87,72192,70785,2%,1407
88,70544,70785,-0.3%,-241
89,71727,70785,1.3%,942
90,71743,70785,1.4%,958
91,71410,70785,0.9%,625
92,70108,70785,-1%,-677
93,69465,70785,-1.9%,-1320
94,71484,70785,1%,699
95,70644,70785,-0.2%,-141
96,69533,70785,-1.8%,-1252
97,71205,70785,0.6%,420
98,70444,70785,-0.5%,-341
99,71978,70785,1.7%,1193
100,72110,70785,1.9%,1325
