"DISTRICT","2000 Pres. 
% Rep.","2000 Pres. 
% Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov. 
% Rep.","1997 Gov. 
% Dem.","1997 Lt. 
Gov. % Rep.","1997 Lt. 
Gov. % Dem.","1996 Pres. 
% Rep.","1996 Pres. 
% Dem.","1996 US 
Sen. % Rep.","1996 US 
Sen. % Dem."
1,57%,42%,60%,40%,64%,36%,61%,39%,44%,45%,42%,58%
2,47%,51%,50%,50%,50%,50%,48%,52%,35%,54%,35%,65%
3,45%,53%,48%,52%,52%,48%,47%,53%,32%,58%,36%,64%
4,59%,40%,62%,38%,60%,40%,58%,42%,49%,41%,47%,53%
5,61%,38%,63%,37%,63%,37%,57%,43%,46%,41%,46%,54%
6,58%,40%,59%,41%,60%,40%,56%,44%,44%,43%,46%,54%
7,57%,40%,57%,43%,61%,39%,54%,46%,46%,42%,49%,51%
8,60%,38%,58%,42%,63%,37%,54%,46%,52%,40%,55%,45%
9,61%,37%,63%,37%,62%,38%,44%,56%,46%,41%,51%,49%
10,60%,39%,60%,40%,58%,42%,43%,57%,47%,41%,48%,52%
11,37%,61%,39%,61%,45%,55%,38%,62%,31%,62%,36%,64%
12,49%,46%,49%,51%,50%,50%,44%,56%,39%,50%,45%,55%
13,61%,37%,61%,39%,66%,34%,65%,35%,56%,37%,60%,40%
14,54%,43%,55%,45%,60%,40%,45%,55%,50%,43%,52%,48%
15,65%,33%,66%,34%,68%,32%,67%,33%,55%,35%,57%,43%
16,62%,36%,62%,38%,64%,36%,45%,55%,53%,38%,54%,46%
17,59%,39%,58%,42%,62%,38%,54%,46%,52%,40%,56%,44%
18,59%,38%,60%,40%,63%,37%,61%,39%,53%,38%,58%,42%
19,64%,34%,64%,36%,65%,35%,55%,45%,52%,38%,56%,44%
20,67%,30%,65%,35%,69%,31%,70%,30%,60%,31%,61%,39%
21,52%,46%,51%,49%,60%,40%,59%,41%,46%,46%,53%,47%
22,66%,33%,66%,34%,67%,33%,53%,47%,55%,36%,57%,43%
23,53%,45%,53%,47%,56%,44%,44%,56%,49%,46%,51%,49%
24,58%,39%,58%,42%,61%,39%,49%,51%,47%,43%,52%,48%
25,64%,33%,63%,37%,68%,32%,66%,34%,57%,33%,60%,40%
26,67%,28%,67%,33%,70%,30%,72%,28%,62%,31%,62%,38%
27,60%,39%,60%,40%,68%,32%,65%,35%,58%,35%,55%,45%
28,56%,41%,54%,46%,56%,44%,51%,49%,51%,42%,53%,47%
29,62%,35%,63%,37%,67%,33%,67%,33%,56%,35%,60%,40%
30,60%,37%,61%,39%,65%,35%,59%,41%,52%,39%,57%,43%
31,52%,45%,54%,46%,64%,36%,61%,39%,50%,42%,52%,48%
32,57%,41%,58%,42%,63%,37%,61%,39%,54%,39%,60%,40%
33,56%,41%,57%,43%,58%,42%,57%,43%,50%,42%,58%,42%
34,54%,42%,51%,49%,56%,44%,54%,46%,55%,41%,65%,35%
35,51%,45%,50%,50%,53%,47%,52%,48%,51%,44%,61%,39%
36,43%,53%,42%,58%,44%,56%,43%,57%,42%,53%,53%,47%
37,50%,46%,49%,51%,54%,46%,53%,47%,50%,45%,60%,40%
38,42%,54%,42%,58%,48%,52%,46%,54%,42%,52%,54%,46%
39,48%,49%,48%,52%,53%,47%,51%,49%,47%,48%,57%,43%
40,58%,40%,57%,43%,62%,38%,61%,39%,56%,39%,61%,39%
41,51%,45%,50%,50%,56%,44%,54%,46%,50%,45%,59%,41%
42,52%,46%,51%,49%,58%,42%,57%,43%,51%,44%,59%,41%
43,45%,53%,44%,56%,53%,47%,51%,49%,44%,51%,51%,49%
44,44%,53%,43%,57%,52%,48%,50%,50%,45%,50%,54%,46%
45,38%,58%,36%,64%,38%,62%,37%,63%,38%,58%,50%,50%
46,33%,63%,34%,66%,41%,59%,40%,60%,32%,63%,44%,56%
47,33%,61%,33%,67%,36%,64%,35%,65%,33%,62%,46%,54%
48,37%,57%,36%,64%,39%,61%,38%,62%,38%,57%,51%,49%
49,27%,69%,28%,72%,35%,65%,32%,68%,27%,68%,39%,61%
50,54%,43%,57%,43%,64%,36%,62%,38%,52%,40%,55%,45%
51,51%,47%,51%,49%,62%,38%,60%,40%,50%,44%,54%,46%
52,48%,50%,49%,51%,63%,37%,60%,40%,46%,46%,50%,50%
53,43%,52%,42%,58%,44%,56%,43%,57%,43%,52%,53%,47%
54,59%,40%,58%,42%,60%,40%,55%,45%,52%,41%,53%,47%
55,68%,30%,67%,33%,70%,30%,66%,34%,63%,29%,60%,40%
56,62%,36%,62%,38%,63%,37%,59%,41%,56%,37%,57%,43%
57,38%,53%,37%,63%,45%,55%,35%,65%,39%,55%,47%,53%
58,57%,39%,56%,44%,63%,37%,53%,47%,53%,40%,59%,41%
59,52%,45%,53%,47%,54%,46%,38%,62%,43%,48%,47%,53%
60,55%,44%,54%,46%,60%,40%,48%,52%,48%,44%,50%,50%
61,58%,41%,59%,41%,62%,38%,47%,53%,49%,43%,53%,47%
62,63%,36%,63%,37%,69%,31%,64%,36%,57%,34%,53%,47%
63,36%,63%,39%,61%,44%,56%,40%,60%,31%,63%,35%,65%
64,56%,42%,52%,48%,55%,45%,53%,47%,47%,45%,56%,44%
65,71%,28%,69%,31%,72%,28%,70%,30%,66%,27%,64%,36%
66,69%,30%,68%,32%,73%,27%,69%,31%,64%,28%,61%,39%
67,55%,42%,55%,45%,59%,41%,59%,41%,53%,41%,59%,41%
68,60%,37%,57%,43%,63%,37%,62%,38%,61%,34%,62%,38%
69,25%,72%,28%,72%,34%,66%,33%,67%,26%,68%,29%,71%
70,27%,71%,30%,70%,36%,64%,34%,66%,27%,67%,30%,70%
71,24%,71%,24%,76%,28%,72%,29%,71%,24%,71%,29%,71%
72,64%,34%,62%,38%,68%,32%,65%,35%,62%,33%,61%,39%
73,60%,38%,58%,42%,64%,36%,63%,37%,59%,35%,59%,41%
74,29%,70%,31%,69%,36%,64%,33%,67%,28%,67%,30%,70%
75,43%,57%,43%,57%,48%,52%,44%,56%,34%,59%,41%,59%
76,58%,41%,56%,44%,62%,38%,60%,40%,51%,41%,58%,42%
77,30%,69%,31%,69%,37%,63%,34%,66%,25%,70%,32%,68%
78,61%,38%,59%,41%,67%,33%,65%,35%,56%,37%,59%,41%
79,47%,52%,44%,56%,52%,48%,50%,50%,43%,50%,53%,47%
80,27%,71%,27%,73%,32%,68%,30%,70%,23%,72%,34%,66%
81,61%,37%,58%,42%,63%,37%,60%,40%,52%,40%,55%,45%
82,61%,37%,56%,44%,60%,40%,59%,41%,56%,37%,66%,34%
83,55%,44%,52%,48%,60%,40%,60%,40%,49%,43%,57%,43%
84,55%,43%,54%,46%,61%,39%,59%,41%,48%,43%,52%,48%
85,57%,42%,55%,45%,62%,38%,62%,38%,52%,40%,60%,40%
86,50%,47%,51%,49%,58%,42%,57%,43%,50%,44%,56%,44%
87,50%,48%,49%,51%,56%,44%,53%,47%,43%,48%,54%,46%
88,62%,36%,61%,39%,65%,35%,61%,39%,55%,37%,54%,46%
89,27%,72%,27%,73%,32%,68%,29%,71%,23%,72%,35%,65%
90,32%,68%,33%,67%,41%,59%,39%,61%,27%,67%,35%,65%
91,63%,36%,58%,42%,65%,35%,62%,38%,55%,36%,64%,36%
92,29%,70%,29%,71%,36%,64%,37%,63%,27%,67%,36%,64%
93,51%,48%,48%,52%,60%,40%,58%,42%,48%,46%,56%,44%
94,57%,42%,53%,47%,61%,39%,58%,42%,53%,40%,63%,37%
95,31%,68%,32%,68%,40%,60%,38%,62%,28%,66%,38%,62%
96,60%,38%,56%,44%,62%,38%,60%,40%,53%,40%,60%,40%
97,62%,37%,62%,38%,63%,37%,58%,42%,54%,38%,51%,49%
98,62%,36%,60%,40%,62%,38%,60%,40%,50%,40%,57%,43%
99,59%,40%,58%,42%,61%,39%,57%,43%,50%,42%,54%,46%
100,52%,46%,49%,51%,58%,42%,57%,43%,41%,48%,51%,49%
"Unassigned",,,,,,,,,,,,
