"DISTRICT","2000 Pres
 % Rep.","2000 Pres.
 % Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov.
% Rep.","1997 Gov. 
% Dem.","1996 Pres. 
% Rep.","1996 Pres.
 % Dem.","1996 Sen. 
% Rep.","1996 Sen.
 % Dem."
1,57%,41%,54%,46%,62%,38%,53%,40%,62%,38%
2,29%,71%,29%,71%,37%,63%,26%,69%,35%,65%
3,57%,40%,54%,46%,60%,40%,50%,42%,58%,42%
4,64%,35%,63%,37%,65%,35%,55%,36%,55%,45%
5,24%,75%,24%,76%,29%,71%,20%,76%,30%,70%
6,48%,51%,46%,54%,53%,47%,42%,50%,54%,46%
7,56%,43%,53%,47%,61%,39%,50%,42%,59%,41%
8,57%,40%,54%,46%,60%,40%,51%,40%,58%,42%
9,20%,77%,22%,78%,27%,73%,20%,75%,24%,76%
10,61%,36%,59%,41%,64%,36%,60%,34%,60%,40%
11,64%,35%,64%,36%,70%,30%,60%,33%,57%,43%
12,62%,36%,60%,40%,66%,34%,60%,34%,59%,41%
13,54%,45%,52%,48%,59%,41%,47%,45%,55%,45%
14,59%,40%,57%,43%,65%,35%,52%,40%,56%,44%
15,56%,43%,55%,45%,59%,41%,46%,45%,51%,49%
16,33%,66%,35%,65%,40%,60%,30%,64%,32%,68%
17,56%,41%,56%,44%,59%,41%,49%,43%,51%,49%
18,37%,63%,37%,63%,43%,57%,30%,64%,36%,64%
19,61%,37%,61%,39%,65%,35%,54%,39%,55%,45%
20,59%,39%,60%,40%,59%,41%,46%,42%,49%,51%
21,52%,47%,52%,48%,56%,44%,45%,47%,49%,51%
22,58%,41%,58%,42%,60%,40%,45%,44%,49%,51%
23,60%,38%,60%,40%,61%,39%,51%,41%,54%,46%
24,65%,33%,64%,36%,68%,32%,56%,34%,58%,42%
25,48%,46%,47%,53%,54%,46%,45%,48%,52%,48%
26,64%,33%,65%,35%,66%,34%,57%,35%,58%,42%
27,62%,35%,63%,37%,66%,34%,55%,35%,60%,40%
28,56%,42%,55%,45%,61%,39%,50%,42%,53%,47%
29,55%,43%,56%,44%,65%,35%,52%,41%,55%,45%
30,36%,59%,36%,64%,41%,59%,37%,59%,48%,52%
31,33%,61%,33%,67%,36%,64%,34%,61%,47%,53%
32,49%,47%,47%,53%,49%,51%,49%,46%,60%,40%
33,54%,44%,54%,46%,57%,43%,50%,43%,58%,42%
34,44%,52%,43%,57%,48%,52%,43%,51%,54%,46%
35,50%,47%,49%,51%,55%,45%,49%,46%,59%,41%
36,45%,52%,44%,56%,53%,47%,45%,50%,53%,47%
37,56%,42%,55%,45%,60%,40%,54%,40%,60%,40%
38,53%,45%,55%,45%,56%,44%,39%,50%,41%,59%
39,56%,41%,57%,43%,59%,41%,45%,43%,48%,52%
40,54%,44%,57%,43%,58%,42%,43%,47%,41%,59%
