"District","TotalPop","Targ.","% Dev.","Deviation"
1,189763,176963,7.2331504325763%,12800
2,149888,176963,-15.2998084345315%,-27075
3,181082,176963,2.32760520560795%,4119
4,199611,176963,12.7981555466397%,22648
5,143643,176963,-18.8287947198002%,-33320
6,136556,176963,-22.8335866819618%,-40407
7,152111,176963,-14.0436136367489%,-24852
8,167639,176963,-5.2688980182298%,-9324
9,149110,176963,-15.7394483592615%,-27853
10,168182,176963,-4.96205421472285%,-8781
11,194188,176963,9.73367314071303%,17225
12,190575,176963,7.69200341314286%,13612
13,176293,176963,-0.378610217955166%,-670
14,220607,176963,24.662782615575%,43644
15,170373,176963,-3.72394229302171%,-6590
16,146924,176963,-16.974734831575%,-30039
17,208658,176963,17.9105236687895%,31695
18,159437,176963,-9.90376519385408%,-17526
19,157197,176963,-11.1695665195549%,-19766
20,168010,176963,-5.0592496736606%,-8953
21,159193,176963,-10.0416471239751%,-17770
22,164070,176963,-7.28570379118799%,-12893
23,167870,176963,-5.1383622565169%,-9093
24,174606,176963,-1.33191684137362%,-2357
25,174319,176963,-1.49409763622904%,-2644
26,189401,176963,7.028587896905%,12438
27,182380,176963,3.06109186666139%,5417
28,215826,176963,21.9610879110323%,38863
29,209172,176963,18.2009798658477%,32209
30,174712,176963,-1.27201731435385%,-2251
31,174500,176963,-1.39181636839339%,-2463
32,177755,176963,0.447551183015659%,792
33,262751,176963,48.4779304148325%,85788
34,175317,176963,-0.930137938439109%,-1646
35,158737,176963,-10.2993281081356%,-18226
36,184196,176963,4.08729508428316%,7233
37,221044,176963,24.9097268920622%,44081
38,150973,176963,-14.6866859173952%,-25990
39,170581,176963,-3.60640359849234%,-6382
40,161265,176963,-8.87078089770178%,-15698
