"District","2000 Pres.
 % Rep.","2000 Pres. 
% Dem.","2000 US
 Sen. %Rep.","2000 US 
Sen. % Dem.","1997 Gov. 
% Rep.","1997 Gov.
 % Dem.","1996 Pres.
 % Rep.","1996 Pres. 
% Dem.","1996 Sen. 
% Rep.","1996 Sen. 
% Dem."
1,59%,40%,55%,45%,63%,37%,53%,39%,62%,38%
2,32%,67%,32%,68%,41%,59%,30%,64%,39%,61%
3,59%,38%,55%,45%,61%,39%,52%,40%,59%,41%
4,63%,36%,62%,38%,64%,36%,56%,37%,55%,45%
5,27%,72%,27%,73%,33%,67%,24%,72%,33%,67%
6,52%,46%,50%,50%,57%,43%,43%,47%,54%,46%
7,56%,42%,54%,46%,62%,38%,51%,41%,59%,41%
8,59%,39%,55%,45%,60%,40%,52%,40%,59%,41%
9,30%,68%,31%,69%,35%,65%,28%,66%,31%,69%
10,63%,35%,61%,39%,65%,35%,60%,34%,60%,40%
11,62%,37%,62%,38%,68%,32%,59%,34%,56%,44%
12,63%,35%,61%,39%,67%,33%,61%,33%,61%,39%
13,58%,41%,56%,44%,61%,39%,50%,42%,57%,43%
14,59%,40%,57%,43%,64%,36%,52%,40%,55%,45%
15,56%,42%,56%,44%,60%,40%,48%,44%,51%,49%
16,34%,65%,37%,63%,42%,58%,30%,64%,32%,68%
17,58%,40%,58%,42%,61%,39%,51%,41%,54%,46%
18,34%,65%,35%,65%,40%,60%,27%,67%,35%,65%
19,60%,38%,61%,39%,63%,37%,50%,41%,53%,47%
20,60%,38%,60%,40%,60%,40%,47%,41%,49%,51%
21,47%,50%,48%,52%,51%,49%,40%,51%,45%,55%
22,60%,38%,59%,41%,63%,37%,51%,40%,54%,46%
23,61%,37%,61%,39%,63%,37%,52%,39%,55%,45%
24,65%,32%,64%,36%,68%,32%,57%,33%,60%,40%
25,47%,48%,47%,53%,52%,48%,42%,51%,49%,51%
26,64%,33%,65%,35%,67%,33%,56%,35%,58%,42%
27,60%,37%,61%,39%,63%,37%,55%,37%,60%,40%
28,60%,38%,59%,41%,61%,39%,53%,40%,54%,46%
29,56%,42%,57%,43%,65%,35%,52%,40%,56%,44%
30,35%,60%,35%,65%,39%,61%,35%,60%,47%,53%
31,36%,59%,35%,65%,38%,62%,37%,59%,49%,51%
32,47%,49%,46%,54%,49%,51%,47%,48%,57%,43%
33,55%,42%,56%,44%,60%,40%,53%,41%,59%,41%
34,51%,46%,49%,51%,53%,47%,51%,44%,61%,39%
35,40%,56%,40%,60%,47%,53%,40%,55%,51%,49%
36,46%,52%,46%,54%,56%,44%,45%,48%,51%,49%
37,54%,43%,53%,47%,58%,42%,52%,43%,58%,42%
38,50%,49%,52%,48%,54%,46%,37%,52%,39%,61%
39,52%,45%,52%,48%,59%,41%,51%,44%,58%,42%
40,58%,41%,61%,39%,61%,39%,46%,43%,45%,55%
