"DISTRICT","TOTALPOP","Targ.","Dev.","Deviation"
1,173603,176963,-1.9%,-3360
2,174612,176963,-1.3%,-2351
3,177512,176963,0.3%,549
4,174862,176963,-1.2%,-2101
5,176665,176963,-0.2%,-298
6,173602,176963,-1.9%,-3361
7,173499,176963,-2%,-3464
8,174228,176963,-1.5%,-2735
9,180492,176963,2%,3529
10,173497,176963,-2%,-3466
11,173903,176963,-1.7%,-3060
12,178234,176963,0.7%,1271
13,173388,176963,-2%,-3575
14,173522,176963,-1.9%,-3441
15,179226,176963,1.3%,2263
16,173853,176963,-1.8%,-3110
17,176700,176963,-0.1%,-263
18,174751,176963,-1.2%,-2212
19,180494,176963,2%,3531
20,180264,176963,1.9%,3301
21,179386,176963,1.4%,2423
22,179040,176963,1.2%,2077
23,180500,176963,2%,3537
24,179900,176963,1.7%,2937
25,179220,176963,1.3%,2257
26,175088,176963,-1.1%,-1875
27,176794,176963,-0.1%,-169
28,180274,176963,1.9%,3311
29,176364,176963,-0.3%,-599
30,179694,176963,1.5%,2731
31,177669,176963,0.4%,706
32,177016,176963,0%,53
33,177243,176963,0.2%,280
34,175583,176963,-0.8%,-1380
35,176428,176963,-0.3%,-535
36,179636,176963,1.5%,2673
37,177028,176963,0%,65
38,180435,176963,2%,3472
39,175195,176963,-1%,-1768
40,179115,176963,1.2%,2152
