"Town Name","Senate District"
"Abingdon","40"
"Accomac","6"
"Alberta","18"
"Altavista","19"
"Amherst","15"
"Appalachia","38"
"Appomattox","15"
"Ashland","4"
"Belle Haven","6"
"Berryville","27"
"Big Stone Gap","40"
"Blacksburg","21"
"Blackstone","18"
"Bloxom","6"
"Bluefield","38"
"Boones Mill","19"
"Bowling Green","4"
"Boydton","15"
"Boykins","18"
"Branchville","18"
"Bridgewater","26"
"Broadway","26"
"Brodnax","15"
"Brookneal","19"
"Buchanan","22"
"Burkeville","18"
"Cape Charles","6"
"Capron","18"
"Cedar Bluff","38"
"Charlotte Court House","15"
"Chase City","15"
"Chatham","19"
"Cheriton","6"
"Chilhowie","40"
"Chincoteague","6"
"Christiansburg","21,22"
"Claremont","13"
"Clarksville","15"
"Cleveland","38"
"Clifton","39"
"Clinchport","40"
"Clintwood","38"
"Coeburn","40"
"Colonial Beach","28"
"Columbia","15"
"Courtland","13"
"Craigsville","24"
"Crewe","18"
"Culpeper","17"
"Damascus","40"
"Dayton","26"
"Dendron","13"
"Dillwyn","15"
"Drakes Branch","15"
"Dublin","38"
"Dumfries","36,29"
"Eastville","6"
"Edinburg","26"
"Elkton","24"
"Exmore","6"
"Farmville","15"
"Fincastle","22"
"Floyd","20"
"Fries","20"
"Front Royal","26"
"Gate City","40"
"Glade Spring","40"
"Glasgow","25"
"Glen Lyn","21"
"Gordonsville","17"
"Goshen","24"
"Gretna","19"
"Grottoes","24"
"Grundy","38"
"Halifax","15"
"Hallwood","6"
"Hamilton","27"
"Haymarket","29"
"Haysi","38"
"Herndon","32"
"Hillsboro","27"
"Hillsville","20"
"Honaker","38"
"Hurt","19"
"Independence","20"
"Iron Gate","25"
"Irvington","28"
"Ivor","13"
"Jarratt","18"
"Jonesville","40"
"Keller","6"
"Kenbridge","18,15"
"Keysville","15"
"Kilmarnock","28"
"La Crosse","15"
"Lawrenceville","18"
"Lebanon","38"
"Leesburg","27,33"
"Louisa","17"
"Lovettsville","27"
"Luray","26"
"McKenney","16"
"Madison","17"
"Marion","40"
"Melfa","6"
"Middleburg","27"
"Middletown","27"
"Mineral","17"
"Monterey","24"
"Montross","28"
"Mount Crawford","24"
"Mount Jackson","26"
"Narrows","21"
"Nassawadox","6"
"New Castle","21"
"New Market","26"
"Newsoms","18"
"Nickelsville","40"
"Occoquan","36,39"
"Onancock","6"
"Onley","6"
"Orange","17"
"Painter","6"
"Pamplin City","15"
"Parksley","6"
"Pearisburg","21"
"Pembroke","21"
"Pennington Gap","40"
"Phenix","15"
"Pocahontas","38"
"Port Royal","4"
"Pound","38"
"Pulaski","38"
"Purcellville","27"
"Quantico","28"
"Remington","27"
"Rich Creek","21"
"Richlands","38"
"Ridgeway","20"
"Rocky Mount","19"
"Round Hill","27"
"Rural Retreat","20"
"St. Paul","38"
"Saltville","38,40"
"Saxis","6"
"Scottsburg","15"
"Scottsville","25,15"
"Shenandoah","26"
"Smithfield","13"
"South Boston","15"
"South Hill","15"
"Stanardsville","24"
"Stanley","26"
"Stephens City","27"
"Stony Creek","18"
"Strasburg","26"
"Stuart","20"
"Surry","13"
"Tangier","6"
"Tappahannock","4"
"Tazewell","38"
"The Plains","27"
"Timberville","26"
"Toms Brook","26"
"Troutville","22"
"Urbanna","4"
"Victoria","15"
"Vienna","34"
"Vinton","22"
"Virgilina","15"
"Wachapreague","6"
"Wakefield","18"
"Warrenton","27"
"Warsaw","28"
"Waverly","18"
"Weber City","40"
"West Point","4"
"White Stone","28"
"Windsor","13"
"Wise","40"
"Woodstock","26"
"Wytheville","20"
