"DISTRICT","TOTALPOP","TARG.","DEV.","DEVIATION"
1,174289,176963,-1.51,-2674
2,174234,176963,-1.54,-2729
3,177204,176963,0.14,241
4,174862,176963,-1.19,-2101
5,173535,176963,-1.94,-3428
6,174940,176963,-1.14,-2023
7,173441,176963,-1.99,-3522
8,174228,176963,-1.55,-2735
9,180492,176963,1.99,3529
10,177180,176963,0.12,217
11,173903,176963,-1.73,-3060
12,177890,176963,0.52,927
13,176740,176963,-0.13,-223
14,175372,176963,-0.9,-1591
15,179983,176963,1.71,3020
16,174203,176963,-1.56,-2760
17,179093,176963,1.2,2130
18,173520,176963,-1.95,-3443
19,179894,176963,1.66,2931
20,180264,176963,1.87,3301
21,179386,176963,1.37,2423
22,179040,176963,1.17,2077
23,179941,176963,1.68,2978
24,175702,176963,-0.71,-1261
25,178010,176963,0.59,1047
26,175088,176963,-1.06,-1875
27,176794,176963,-0.1,-169
28,177881,176963,0.52,918
29,177790,176963,0.47,827
30,180201,176963,1.83,3238
31,176666,176963,-0.17,-297
32,177016,176963,0.03,53
33,177243,176963,0.16,280
34,175583,176963,-0.78,-1380
35,176032,176963,-0.53,-931
36,177321,176963,0.2,358
37,177050,176963,0.05,87
38,180435,176963,1.96,3472
39,176954,176963,-0.01,-9
40,179115,176963,1.22,2152
